review_id,review_text
1,"I absolutely love this product! It works perfectly and exceeded my expectations."
2,"The quality is quite poor. It broke within two days of use."
3,"It's an okay product. Does what it says, but nothing special."
4,"Highly recommended! Best purchase I've made this year."
5,"Very disappointed. The customer service was also very rude."
6,"The item arrived late, but the product itself is decent."
7,"Fantastic quality and fast shipping. I will buy again!"
8,"Not worth the money. You can find better alternatives elsewhere."
9,"Pretty good, but could be improved in terms of durability."
10,"I hate this. It doesn't work at all and the instructions are unclear."
